id,title,author,text,label
0,"So the House Intelligence Committee was finally going to hear the FBI’s new bombshell evidence of Russian collusion. 
But then the FBI decided it didn’t want to share the evidence after all. 
Unbelievable. 
It’s as if the FBI just doesn’t want the truth to come out. 
Oh wait. 
It just might not know the truth. 
The FBI doesn’t know much these days, which is why it can’t seem to keep its stories straight. 
It’s also the reason Loretta Lynch and the Obama Justice Department won’t let the FBI investigate its own story. 
The FBI just can’t help itself. 
It has to investigate every little thing, no matter how small or unrelated. It can’t help itself. 
Which is why Comey and the rest of the FBI couldn’t keep their",AI,"It’s been a few days since the election, and the liberal MSM is scrambling to find ways to blame either Hillary Clinton or Donald Trump for the loss. 
The Democrats were hoping the Russians would publish something illegal to help them pin the blame on Trump. 
The problem is that they may have jumped the gun. 
The Washington Post ran a story Nov. 16 saying the FBI has evidence of a secret “compromised” computer shared by Clinton and her aides in the final days of the campaign. 
But on Saturday, the New York Times reported that the FBI had seen something else that triggered suspicions of a “curdling conspiracy” by Donald Trump to collude with the Russians to steal the election. 
So if the liberal MSM is looking for a way to pin the loss on Trump, they just found a new way to do it. 
An unnamed FBI official told the Times that counterintelligence agents investigating the Russian",1
1,"Beneath the surface, the Earth is a different place than it was just a few years ago. Under the surface, the Earth is slowly coming to an end. The few who understand what is happening don't know what to do. They don't know how to stop it. 
The Earth is dying. It is slowly dying. It is dying because of the human race. The human race is destroying the Earth through war, disease and overpopulation. 
The Earth is dying because of the human race. 
The Earth is dying because of the human race. 
The Earth is dying because of the human race. 
The Earth is dying because of the human race. 
The Earth is dying because of the human race. 
The Earth is dying because of the human race. 
The Earth is dying because of the human race. 
The Earth is dying because of the human race. 
The Earth is dying because of the",AI,"Heavily armored Russian troops have begun arriving in Syria, according to the Russian Defense Ministry. 
“The Russian Defense Ministry informed the Syrian Ministry of Defense of the deployment of the first fully equipped group of Russian servicemen to Syrian Arab Republic,” the ministry said in a statement. 
Details about the size of the force were not provided, but the ministry said it would be sending “both military and technical experts” to Syria. 
The deployment comes as Russia has ramped up its military support for Syrian President Bashar al-Assad’s regime. Since 2015, the Assad regime has been fighting an armed insurrection fueled by the presence of foreign fighters. 
The civil war has resulted in the displacement of millions of Syrians, and Russia has called for a “cessation of hostilities” in the country. The United States, as well as other Western countries, have rejected the proposal. 
On Monday, Russian President Vladimir Putin said",1
2,"It is with great sadness that we must report that Star Wars legend, actor and pop culture icon, Mark Hamill, passed away this afternoon. He was 74. 
Hamill is best known for his role as Luke Skywalker in the original Star Wars trilogy. He also starred as The Joker in David Lynch’s iconic 1990 television adaptation of Batman: The Animated Series. 
Most recently, Hamill starred in the Netflix series, The Popcorn Machine: The Final Show, which premiered on Netflix in October. 
Hamill is also the author of the New York Times best-selling book, Skywalker: A Personal History of Star Wars. The book was released in October 2016 and documents Hamill’s experience working on the original Star Wars trilogy as well as his time as an ambassador and fan for the Star Wars saga. 
Hamill is also known for his charity work, most recently supporting the Meek Mill Foundation in their mission to end racial profiling.",AI,"Thanks to the internet, we can all see the true character of Barack Obama. 
But some in the mainstream media still have not figured it out, and thus cover up his true nature. 
This week on “Behind the News,” our weekly podcast, we examine Obama’s true nature. 
Don’t miss this fascinating analysis. 
Listen to “Behind the News” HERE or embedded below. 
Follow BI Video: On Twitter | BI Video Facebook Follow BI Video: On Twitter | BI Video Facebook Follow BI Video: On Twitter | BI Video Facebook Follow BI Video: On Twitter | BI Video Facebook Follow BI Video: On Twitter | BI Video Facebook Follow BI Video: On Twitter | BI Video Facebook Follow BI Video: On Twitter | BI Video Facebook Follow BI Video: On Twitter | BI Video Facebook Follow BI Video: On Twitter | BI Video Facebook Follow BI Video: On Twitter | BI Video Facebook Follow BI Video:",1
3,"The National Rifle Association (NRA) released a statement Friday taking aim at Sen. Elizabeth Warren (D - Mass.) after she said during a roundtable discussion on guns that “there are those who need to have guns in their homes to protect themselves from potential predators. ” 
The first response came from Dana Loesch, the NRA’s director of public affairs: “[I]t’s interesting to hear a Massachusetts Senator lecture anyone on what is needed in the American South. 
“Sen. Warren obviously lacks sufficient understanding of the region’s historic relationship with firearms, and its current cultural reverence for the protection they provide. 
“The truth is the only thing she fears, and it’s the truth that her constituents know: without law enforcement or armed citizens to protect them, they’d be an open invitation to crime. 
“If she really believed that, she’d",AI,"October 28, 2016 
Now that Hillary Clinton’s health is a major campaign issue, CNN is reporting that some of the Democratic nominee’s health records were found in Anthony Weiner’s ( estranged husband of Clinton aide Huma Abedin ) home. 
“Federal law enforcement officials confirmed to CNN that some of the documents that were found in the Anthony Weiner investigation were Hillary Clinton’s health records,” announced CNN’s Wolf Blitzer. 
The health records were found in the “sexting” investigation of Weiner which led to his resignation from the House of Representatives. 
The health records are being used as ammunition by critics of Hillary Clinton during the campaign. 
In addition to the health records, abedin’s emails have been discovered in the Weiner investigation. 
FBI Director James Comey refused to discuss the Abedin emails during a congressional hearing Thursday. 
Weiner’s lawyers have stated that the",1
4,"Twitter is now banning, without warning, accounts whose owners use the word “Jew” in a non-hateful manner. 
The crackdown on “hate speech” came after the social media company suspended the account of actress Roseanne Barr for a tweet that referred to a former Obama White House aide as an “ape” and a “monkey.” 
Barr’s account was restored after it was tweeted that she misspoke. 
The censorship of “hateful” speech comes at a time when Twitter is facing criticism for allowing accounts linked to Islamic terrorists to openly promote and praise their attacks. 
The word “Jew” has long been a banned phrase on Twitter, and the company has long had rules against “hate speech.” But the company has never before banned an account based on the word “Jew.” 
The crackdown comes as the company is being pressured to",AI,"Tweet 
The FBI’s James Comey has been in the spotlight ever since he announced that he was going to close the investigation into Hillary Clinton. The FBI director is also under fire for his handling of the investigation into alleged ties between the Trump campaign and Russia. 
In a letter to FBI employees, Comey revealed that he chose to send a letter to Congress on October 28 stating that he had new evidence in the Clinton probe. He warned that if the evidence was released, it could be “explosive” and lead to “the deaths of large numbers of people.” 
Comey claims that his actions were motivated by his concern for the public’s confidence in the FBI. He is being criticized for violating FBI protocol that states that before issuing a statement on a case, it is the FBI’s practice to consult with the Department of Justice. 
The FBI director also did not consult with Attorney General Lynch, who was under scrutiny for",1
5,"Written by Frank Holmes 
The world’s largest carmaker is powering ahead with plans to build its next generation of electric vehicles (EVs) at Tesla’s former factory in California. Tesla is currently in the process of selling its former plant to China’s largest electric vehicle manufacturer, Beijing Electric Vehicle (BEV). If Tesla is able to sell the plant, it would be the first instance of a carmaker reopening a former facility to build EVs. 
Tesla’s former factory, called the “Gigafactory,” was built in just 6 months and is currently the largest building in the world by footprint. Elon Musk, Tesla’s CEO, describes the Gigafactory as “the next revolution in vehicle manufacturing” that will enable his company to reduce the cost of electric vehicle production by 30 percent and increase the production rate by tenfold. 
Tesla is hoping to break ground on the Gigafactory within the",AI,"Website of the Day - The Gaia Collective - The Gaia Collective is a network of artists, writers, and activists dedicated to the restoration of the Earth. Their website features free articles and essays, a free monthly e-newsletter, and their “Healing the Earth” song cycle. 
Nov 21, 2016 
The Gaia Collective is a network of artists, writers, and activists dedicated to the restoration of the Earth. Their website features free articles and essays, a free monthly e-newsletter, and their “Healing the Earth” song cycle. 
Nov 20, 2016 
In celebration of Earth Day, the leaders of The Gaia Collective explain what the holiday means for all of humanity, and share with us their vision for the future of the planet. 
Nov 19, 2016 
This week on Local Revolution, we speak with a member of the North Kitsap Food Collective in Silverdale WA. The group, which was formed in early 2016",1
6,"Tweet #TheTruthDoesntTrump The following is the second in a three-part series investigating the deep state and the secret societies controlling the world. The first article, exposing the Bilderberg Group and the Trilateral Commission, can be read here. 
The second article in the series will focus on the Council on Foreign Relations (CFR) and the World Shadow Government (WSG) . 
The CFR was first established in 1921 and is a think tank that has played a significant role in shaping U.S. foreign policy and global affairs. The organization is run by a group of global bankers and elite, who, following the exodus of the Glass-Steagall Act in 1999 , have been able to use their wealth and influence to further the interests of the One Percent, while deceiving the American people into believing they are “public servants” working for the good of the people. 
The WSG is a secret society comprising of top government, military, banking",AI,"So, the Clinton campaign is panicking over Wikileaks releases of John Podesta’s emails. 
The FBI is reportedly now looking at Podesta’s ties to Russia to help Donald Trump. 
The Podesta emails have been released by Wikileaks. The mainstream media is now attempting to downplay their significance in a desperate attempt to protect Hillary Clinton. 
The Washington Post is trying to make it seem as if the Podesta emails are unimportant by pointing out that most of the emails are from January and February of 2015. 
But the real story is that Podesta’s emails were released weeks before the Wikileaks dump of Hillary Clinton’s emails. 
Podesta is Hillary Clinton’s campaign chairman and the emails reveal his role in covering up Clinton’s corruption. 
In one email, Podesta says of Clinton, “I think we shouldAnncysid[.]org I’ve spoken to H. Clinton four times in the",1
7,"In a stunning victory for the American people, Donald J. Trump will be the next President of the United States. While the mainstream media and the Clinton campaign spend the final hours before election day spinning the election results, the rest of the country is celebrating a monumental win for the future. 
During a chaotic day that saw the FBI release new evidence related to Clinton's email scandal, Trump was able to take advantage of the media's obsession with the email investigation to hit the road and make his final push for the White House. 
Trump's road trip was a success, as he's now projected to win enough electoral votes to become the next President of the United States. 
After spending the day on the road, Trump made a stop at a local veterans' center in Iowa to get out the vote. 
Despite his intense road trip, Trump still found the time to spend a few hours at a veterans' center in Iowa getting out the final vote. 
The",AI,"The United States is on the brink of a constitutional crisis just like the one that took place in 1933 when President Franklin D. Roosevelt issued Executive Order 9066 forcing over 100,000 Japanese-Americans to be relocated to internment camps during World War II. 
The Obama administration is reportedly preparing to issue a similar order to force the detention of tens of thousands of migrant children at the southern U.S. border. 
The White House will reportedly use the same “loophole” that former President George W. Bush used to justify the detainment of prisoners at Guantanamo Bay, Cuba. 
According to exclusive reports in the New York Times and Washington Post, the Obama administration is planning to use the same “loophole” that former President George W. Bush used to justify the detainment of prisoners at Guantanamo Bay, Cuba. 
When the Bush administration used this “loophole” in 2002, it was to justify the detention",1
8,"Tweet 
Donald Trump, the man who has singlehandedly brought the Republican Party to its knees, is reportedly set to speak at the Republican National Convention next week. 
The Republican candidate will reportedly address the convention next week, the same night that the Democrats are expected to officially nominate Hillary Clinton. 
The Trump campaign has yet to publicly confirm the candidate’s plans to speak at the convention next week, but sources close to the campaign have leaked the information to the press. 
The RNC announced that they had “no comment” when asked about Trump’s plans to speak at the convention. 
Trump is scheduled to speak at the convention just days before the Democratic National Convention in Philadelphia to officially nominate Hillary Clinton. 
The Democratic convention is expected to be a much larger event, with attendance expected to top 20,000. 
Trump is expected to have an even smaller convention, with only a few thousand supporters expected to show up when he addresses the",AI,"Tweet 
In an interview with Breitbart News Saturday on SiriusXM Patriot 125, House Freedom Caucus Chairman Rep. Mark Meadows (R-NC) discussed the need for tax reform in the United States, saying the 2017 Tax Cuts and Jobs Act was a “visible symbol” of how the American people want lawmakers to approach the country’s fiscal situation. 
“Well, it was a very visible symbol for the fact that we need to get our fiscal house in order, and that was a very big part of why we were able to pass the tax reform bill,” Meadows told Breitbart News Saturday. 
“We’ve got to have the same type of success with the [federal] spending side,” he added. “And I think if you look at the frustration that the American people have with the spending side, and the fact that we spend more money than we take in, I think it’s very obvious that",1
9,"The Pentagon has announced it will end its contract with Boeing to build the next generation of Air Force One, citing the cost and the difficulty of making the presidential aircraft more energy efficient. 
The contract will be terminated after the current plane is retired in 2024, according to Pentagon spokesman Colonel Rob Manning. 
“We’ve reached the point where, due to costs and the difficulty of making structural changes, we would have to replace the structure entirely,” Manning told the Seattle Times. 
President Donald Trump has repeatedly called for improvements to the plane that has carried him and former President Barack Obama since the 1990s. 
A 2012 contract to replace the plane’s aging electronics with a system that would send audio and video directly to Trump’s plane sparked controversy. 
Trump spent $1.5 billion of taxpayer money on two custom Boeing 747-8s that will replace the aging Air Force One planes. 
Boeing shares dropped",AI,"Yes, It’s Real=>Trump’s Plan to Drain the Swamp is Sweeping Out DC’s Corrupt Politicians! 
Donald Trump is ready to do what the American people elected him to do. That means sweeping out Washington’s corrupt politicians. 
A new report reveals that the Trump transition team has already started planning to purge the federal government of the worst of the worst. 
A source close to the Trump team recently told Axios that the president-elect and his team are already planning to clean up the federal government. The source said, “The Swamp will not be drained when Trump gets in. It will be drained when he gets out.” 
On Wednesday, Trump announced plans to begin the transition by naming three people to his team of “Drain the Swamp” politicians. 
And it looks like the Trump team is already getting to work. The Daily Caller reported that Trump’s team is",1
